,listing_id,id,review_date,reviewer_id,reviewer_name,comments,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,review_year,review_month,review_day
315171,16795116,231272691,2018-01-31,16922786,Cristina,"The stay was very pleasant. The appartment is super clean and confy. Fatima or her cousin were available every time I needed to ask something. At the same time, the room has an independent entrace than the one the family uses, giving a lot of freedom without interrupting their daily lifes.
Cristina :)",1 bed room in a big apartment,53554989,Fat & Zak,Ouest lausannois,Renens (Vaud),46.53161459630514,6.5820586228971045,Private room,48,2018,01,31
315283,16795116,406851518,2019-01-31,108187559,Estefany,"Excellent location, close to supermarkets, train station, bus stops, pharmacies and health centers. Also near the EPFL university and UNIL. The house and the room are large and very comfortable. Fatima is a good person, I really like being in her house.",1 bed room in a big apartment,53554989,Fat & Zak,Ouest lausannois,Renens (Vaud),46.53161459630514,6.5820586228971045,Private room,48,2019,01,31
315376,16799926,224522039,2018-01-03,365360,Sandra,"Everything was amazing! Specially the effort  both Ira and Moriya put into making our stay comfortable, always attentive.",Gstaad - Luxury Flat in Rougemont with Great Views,2770598,Moriya,Riviera-Pays-d'Enhaut,Rougemont,46.493381387577394,7.212158173394675,Entire home/apt,1390,2018,01,03
315382,16821246,127470480,2017-01-18,112078879,Marion,The host canceled this reservation 3 days before arrival. This is an automated posting.,Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2017,01,18
315392,16821246,129105028,2017-01-29,34096478,Vincent,"Nous avons été accueillis par Sylvie comme dans une maison d'hôtes! Un logement très bien placé, propre et une hôte adorable, pleines de petites attentions (thés, cafés à disposition; shampoing, prospectus sur la région, conseils, ...). Le petit déjeuner est super! Ce fût un excellent Week end et nous reviendrons avec plaisir!",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2017,01,29
315622,16821246,227206528,2018-01-14,32139076,Erich,"Sehr sauberes Haus, sehr gut gelegen für weitere Unternehmungen. Freundliche Gastgeberin.",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2018,01,14
315632,16821246,230405470,2018-01-28,20345737,Isa,"Emplacement idéal pour aller skier aux Rousses . Sylvie est une Hôte adorable pleine d attention avec le petit chocolat sur l oreiller. Je recommande vivement , aucune mauvaise surprise",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2018,01,28
315882,16821246,366066500,2019-01-02,146577940,Sylvie,Tout est parfait. Hôte très agréable.,Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2019,01,02
315892,16821246,366800487,2019-01-03,56291844,Jean-Pierre,"Très bon accueil dans une chambre propre et confortable,
Sylvie a été de très bon conseil pour un séjour agréable aux Rousses.",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2019,01,03
315902,16821246,368114610,2019-01-06,227319138,Bernard,très bien,Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2019,01,06
315912,16821246,400829013,2019-01-13,31161871,Patrice Et Celine,"Sylvie est tres chaleureuse avec ses hôtes, très attentionnée ! Nous avons apprécié le calme et le chant des oiseaux au petit déjeuner en plein hiver :) Ideallement situé pour les activités de ski nordique !",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2019,01,13
315922,16821246,403111941,2019-01-20,19941796,Carlos,Excellent place!,Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2019,01,20
315932,16821246,405582905,2019-01-27,228913034,Fanny,"Nous avons été très bien accueillis par Sylvie et avons passés un agréable moment. Le logement est très bien entretenu, grande chambre, salle de bain privative... mention spéciale pour le petit déjeuner qui était très bon et copieux ! Merci Sylvie, des bisous a 'Jarro'.",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2019,01,27
316152,16821246,587688337,2020-01-03,223903200,Timothée,"Très bon endroit pour passer plusieurs jours proches de la stations des Rousses. Sylvie est très accueillante et son chien adorable.
On recommande :)",Nuit Douce,111912775,Sylvie,Nyon,Saint-Cergue,46.46557,6.0758,Private room,51,2020,01,03
